 ,Area,Mean,Min,Max
1,261,255,255,255
2,117,255,255,255
3,118,255,255,255
4,99,255,255,255
5,408,255,255,255
6,305,255,255,255
7,293,255,255,255
8,423,255,255,255
9,160,255,255,255
10,184,255,255,255
11,371,255,255,255
12,452,255,255,255
13,410,255,255,255
14,86,255,255,255
15,399,255,255,255
16,362,255,255,255
17,214,255,255,255
18,225,255,255,255
19,209,255,255,255
20,376,255,255,255
21,320,255,255,255
22,310,255,255,255
23,332,255,255,255
24,176,255,255,255
25,303,255,255,255
26,316,255,255,255
27,290,255,255,255
28,271,255,255,255
29,248,255,255,255
30,133,255,255,255
31,409,255,255,255
32,348,255,255,255
33,301,255,255,255
34,128,255,255,255
35,302,255,255,255
36,190,255,255,255
37,307,255,255,255
38,294,255,255,255
39,167,255,255,255
40,391,255,255,255
41,209,255,255,255
42,274,255,255,255
43,239,255,255,255
44,393,255,255,255
45,171,255,255,255
46,219,255,255,255
47,358,255,255,255
48,206,255,255,255
49,232,255,255,255
50,303,255,255,255
51,219,255,255,255
52,453,255,255,255
53,347,255,255,255
54,479,255,255,255
55,326,255,255,255
56,260,255,255,255
57,468,255,255,255
58,301,255,255,255
59,131,255,255,255
60,296,255,255,255
61,291,255,255,255
62,445,255,255,255
63,256,255,255,255
64,271,255,255,255
65,481,255,255,255
66,483,255,255,255
67,251,255,255,255
68,180,255,255,255
69,200,255,255,255
70,389,255,255,255
71,155,255,255,255
72,327,255,255,255
73,422,255,255,255
74,165,255,255,255
75,217,255,255,255
76,77,255,255,255
77,75,255,255,255
78,119,255,255,255
